"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 30 13:24:45 GMT 2022","Fri Dec 30 13:25:35 GMT 2022","49442","","App search function","","Search movie duration","","Search movie duration",""
"failed","Fri Dec 30 13:23:23 GMT 2022","Fri Dec 30 13:24:45 GMT 2022","82030","","App search function","","Search for a movie","","Search for a movie",""
"passed","Fri Dec 30 13:21:06 GMT 2022","Fri Dec 30 13:21:55 GMT 2022","48686","","App search function","","App version","","App version",""
"passed","Fri Dec 30 13:22:39 GMT 2022","Fri Dec 30 13:23:23 GMT 2022","44325","","App search function","","Search for a movie","","Search for a movie",""
"passed","Fri Dec 30 13:21:55 GMT 2022","Fri Dec 30 13:22:39 GMT 2022","43977","","App search function","","Search for a movie","","Search for a movie",""
