"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 05 20:10:26 GMT 2023","Thu Jan 05 20:11:33 GMT 2023","66387","","App search function","","Search for a movie","","Search for a movie",""
"failed","Thu Jan 05 20:11:33 GMT 2023","Thu Jan 05 20:12:45 GMT 2023","72275","","App search function","","Search movie duration","","Search movie duration",""
"failed","Thu Jan 05 20:09:17 GMT 2023","Thu Jan 05 20:10:26 GMT 2023","69676","","App search function","","Search for a movie","","Search for a movie",""
"failed","Thu Jan 05 20:07:02 GMT 2023","Thu Jan 05 20:08:11 GMT 2023","69356","","App search function","","App version","","App version",""
"failed","Thu Jan 05 20:08:11 GMT 2023","Thu Jan 05 20:09:17 GMT 2023","65343","","App search function","","Search for a movie","","Search for a movie",""
