"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 30 19:12:46 GMT 2022","Fri Dec 30 19:13:32 GMT 2022","46410","","App search function","","App version","","App version",""
"failed","Fri Dec 30 19:14:25 GMT 2022","Fri Dec 30 19:15:43 GMT 2022","78030","","App search function","","Search for a movie","","Search for a movie",""
"passed","Fri Dec 30 19:13:32 GMT 2022","Fri Dec 30 19:14:25 GMT 2022","52885","","App search function","","Search for a movie","","Search for a movie",""
"passed","Fri Dec 30 19:15:43 GMT 2022","Fri Dec 30 19:16:40 GMT 2022","56214","","App search function","","Search for a movie","","Search for a movie",""
"passed","Fri Dec 30 19:16:40 GMT 2022","Fri Dec 30 19:17:41 GMT 2022","61386","","App search function","","Search movie duration","","Search movie duration",""
