"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 30 13:06:46 GMT 2022","Fri Dec 30 13:07:39 GMT 2022","52030","","App search function","","Search movie duration","","Search movie duration",""
"passed","Fri Dec 30 13:04:47 GMT 2022","Fri Dec 30 13:05:27 GMT 2022","40132","","App search function","","Search for a movie","","Search for a movie",""
"passed","Fri Dec 30 13:03:59 GMT 2022","Fri Dec 30 13:04:47 GMT 2022","47892","","App search function","","Search for a movie","","Search for a movie",""
"passed","Fri Dec 30 13:03:19 GMT 2022","Fri Dec 30 13:03:59 GMT 2022","40037","","App search function","","App version","","App version",""
"failed","Fri Dec 30 13:05:27 GMT 2022","Fri Dec 30 13:06:46 GMT 2022","79461","","App search function","","Search for a movie","","Search for a movie",""
