"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Dec 22 01:14:22 GMT 2022","Thu Dec 22 01:14:24 GMT 2022","1608","","App search function","","Search for a movie","","Search for a movie",""
"skipped","Thu Dec 22 01:14:24 GMT 2022","Thu Dec 22 01:14:25 GMT 2022","1619","","App search function","","Search for a movie","","Search for a movie",""
"skipped","Thu Dec 22 01:14:26 GMT 2022","Thu Dec 22 01:14:27 GMT 2022","1614","","App search function","","Search for a movie","","Search for a movie",""
"skipped","Thu Dec 22 01:14:21 GMT 2022","Thu Dec 22 01:14:22 GMT 2022","788","","App search function","","App version","","App version",""
"skipped","Thu Dec 22 01:14:27 GMT 2022","Thu Dec 22 01:14:29 GMT 2022","1579","","App search function","","Search movie duration","","Search movie duration",""
